"function_name","source_title","source_url","applies_to_raw","source_capture_utc","evidence_type","probe_status","note"
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel 2016","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for iPad","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel Web App","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for iPhone","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for Android tablets","2026-02-28T11:45:00Z","source_only","pending",""
"CUBEVALUE","CUBEVALUE function - Microsoft Support","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","Excel for Android phones","2026-02-28T11:45:00Z","source_only","pending",""
"LAMBDA","LAMBDA function - Microsoft Support","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"LAMBDA","LAMBDA function - Microsoft Support","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Excel for Microsoft 365 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"LAMBDA","LAMBDA function - Microsoft Support","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Excel for the web","2026-02-28T11:45:00Z","source_only","pending",""
"LAMBDA","LAMBDA function - Microsoft Support","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Excel 2024","2026-02-28T11:45:00Z","source_only","pending",""
"LAMBDA","LAMBDA function - Microsoft Support","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","Excel 2024 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"GROUPBY","GROUPBY function - Microsoft Support","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"GROUPBY","GROUPBY function - Microsoft Support","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","Microsoft Office","2026-02-28T11:45:00Z","source_only","pending",""
"GROUPBY","GROUPBY function - Microsoft Support","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","Microsoft365.com","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel for Microsoft 365","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel for Microsoft 365 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel 2024","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel 2024 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel 2021","2026-02-28T11:45:00Z","source_only","pending",""
"PIVOTBY","PIVOTBY function - Microsoft Support","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","Excel 2021 for Mac","2026-02-28T11:45:00Z","source_only","pending",""
