"group","flat_file","old_rel","note"
"dag-research-synthesis","dag-research-synthesis__04_dnacalc_transfer_matrix.md","inputs/source/dag-research-synthesis/04_dnacalc_transfer_matrix.md","kept in compact pack"
"dag-research-synthesis","dag-research-synthesis__05_deep_research_synthesis.md","inputs/source/dag-research-synthesis/05_deep_research_synthesis.md","kept in compact pack"
"dag-research-synthesis","dag-research-synthesis__10_conformance_and_proof_obligations.md","inputs/source/dag-research-synthesis/10_conformance_and_proof_obligations.md","kept in compact pack"
"dag-research-synthesis","dag-research-synthesis__11_empirical_pack_definitions.md","inputs/source/dag-research-synthesis/11_empirical_pack_definitions.md","kept in compact pack"
"dnavisicalc-spec","dnavisicalc-spec__ENGINE_API.md","inputs/source/dnavisicalc-spec/ENGINE_API.md","kept in compact pack"
"dnavisicalc-spec","dnavisicalc-spec__ENGINE_REQUIREMENTS.md","inputs/source/dnavisicalc-spec/ENGINE_REQUIREMENTS.md","kept in compact pack"
"dnavisicalc-spec","dnavisicalc-spec__SPEC_v0.md","inputs/source/dnavisicalc-spec/SPEC_v0.md","kept in compact pack"
"fec-f3e-current-spec","fec-f3e-current-spec__CURRENT_SPEC_SET.md","inputs/source/fec-f3e-current-spec/CURRENT_SPEC_SET.md","kept in compact pack"
"fec-f3e-current-spec","fec-f3e-current-spec__ENGINE_FEC_F3E_FOUNDATION_UPDATED_SPEC_POINTERS_PROMPT.md","inputs/source/fec-f3e-current-spec/ENGINE_FEC_F3E_FOUNDATION_UPDATED_SPEC_POINTERS_PROMPT.md","kept in compact pack"
"fec-f3e-current-spec","fec-f3e-current-spec__ENGINE_FEC_F3E_REDESIGN_OBSERVATIONS.md","inputs/source/fec-f3e-current-spec/ENGINE_FEC_F3E_REDESIGN_OBSERVATIONS.md","kept in compact pack"
"fec-f3e-current-spec","fec-f3e-current-spec__ENGINE_FEC_F3E_REDESIGN_SPEC.md","inputs/source/fec-f3e-current-spec/ENGINE_FEC_F3E_REDESIGN_SPEC.md","kept in compact pack"
"fec-f3e-evidence","fec-f3e-evidence__EXAM_SUMMARY.md","inputs/source/fec-f3e-evidence/EXAM_SUMMARY.md","kept in compact pack"
"fec-f3e-summary","fec-f3e-summary__implementation_and_runtime_evidence_compact.md","inputs/source/<synthesized compact summary>","synthesized from superseded sources moved to inputs/retired"
"foundation-core","foundation-core__ARCHITECTURE_AND_REQUIREMENTS.md","inputs/source/foundation-core/ARCHITECTURE_AND_REQUIREMENTS.md","kept in compact pack"
"foundation-core","foundation-core__CHARTER.md","inputs/source/foundation-core/CHARTER.md","kept in compact pack"
"foundation-core","foundation-core__CORE_ENGINE_FORMAL_MODEL.md","inputs/source/foundation-core/CORE_ENGINE_FORMAL_MODEL.md","kept in compact pack"
"foundation-core","foundation-core__OPERATIONS.md","inputs/source/foundation-core/OPERATIONS.md","kept in compact pack"
"foundation-core","foundation-core__README.md","inputs/source/foundation-core/README.md","kept in compact pack"
"synthesis-context","synthesis-context__foundation_notes_and_design_draft_compact.md","inputs/source/<synthesized compact summary>","synthesized from superseded sources moved to inputs/retired"
