"path","sha256"
"README.md","F14408C46CCAA1E9324F1100BC2F5ED997C6DBD11A4FDEE251A12BC678B7856C"
"CHARTER.md","BD151B3F2EEAFC7B5870CC7DA7517B5660DE8000CE4967CC21B3AD4F8753F4D1"
"ARCHITECTURE_AND_REQUIREMENTS.md","52C35E153B9F9B2BF01D30637BD1482A70966D6B14092FD42F7F04308375F3AE"
"OPERATIONS.md","91C9B1D6BDEA6CAB4DF765BDB4406CE75B4D68F1024A2DE045F4349FA4A2401D"
"CORE_ENGINE_FORMAL_MODEL.md","7F2370AD60EDB29B65E508CB99A0BEE4DDBD8ACD51A46D1849846ACFCCC0108B"
"notes/BRAINSTORM_NOTES.md","667892CEDAC657C3384B38668892F966B8A67A5F0C338F4AF83B59764C173490"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md","C64CAE17A1DA88F2BDC0811F24BD3A22E501A38DCE2C8AB186D8D5AE2B14A4C8"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/04_readiness_checklist.md","8F3B09A869FBC48725BB004EF4BB84969E240AD9D097B0EFB5B9733FA54BF603"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/05_fec_f3e_redesign_review.md","0FAAB6CDA863E0D2A76EE134DA1AA4CFC3AF4701C9530E235F58D4DF4DEC7327"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/06_fec_f3e_b4_pointer_intake.md","08A98CF2F06A3548006B4D861522B3636EF4201F0C224F09079351F5B59FF590"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/synthesis_report.md","D88D3F9649F877470698D04147A1A2EE834CD0C93F1C1B5A7DE6ABC189356C6B"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/intake_items.csv","F57ECA5D862C4038C89BC45F70C480BC3351B52137FDF50260818BF312A60555"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/analysis/suggestion_index.csv","0FC5C9314EEF28EE1F338C7BA95835EF551813E112E2EA0A68DC130ED0FB5233"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/decision_log.csv","215CEF71C4DCFBA2E3C5094782E6B5AE48348AE089A603E4201C3D12EA66D374"
"synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/decisions/open_decisions_register.md","ECAF4BBC113F409EE544C8FFB0ABFBC298A34A0CD1AD891C67AEEFB7D9E19EA8"
"prompts/runs/20260308-171858-core-engine-fec-f3e-deep-research-pack-01/inputs/source/dag-research-synthesis__04_dnacalc_transfer_matrix.md","4B2109E9F81401DFF9D4DF639C635C30854C0E4CF172C272DC8B9DE7C542C4CA"
