run_id,stage,status,start_utc,end_utc,artifact,notes
20260222-084640-run3-asupersync-deep-dive-internal,init,completed,2026-02-22T06:46:51.2260193Z,2026-02-22T06:46:51.2260193Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/inputs/source_hashes.csv,run scaffold and context prepared
20260222-084640-run3-asupersync-deep-dive-internal,run3_research,completed,2026-02-22T07:03:32.8364978Z,2026-02-22T07:03:32.8364978Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/response.md,asupersync deep-dive response written
20260222-084640-run3-asupersync-deep-dive-internal,run3_sources,completed,2026-02-22T07:03:32.8364978Z,2026-02-22T07:03:32.8364978Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/source_list.csv,23 sources captured
20260222-084640-run3-asupersync-deep-dive-internal,run3_report,completed,2026-02-22T07:03:32.8364978Z,2026-02-22T07:03:32.8364978Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/research_report.md,report written
20260222-084640-run3-asupersync-deep-dive-internal,postrun_complete,completed,2026-02-22T07:03:32.8364978Z,2026-02-22T07:03:32.8364978Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/research_report.md,run3 outputs finalized
20260222-084640-run3-asupersync-deep-dive-internal,registry_update,completed,2026-02-22T07:03:32.8364978Z,2026-02-22T07:03:32.8364978Z,research/sources.csv;research/topic_registry.csv,topic and source registry entries updated
20260222-084640-run3-asupersync-deep-dive-internal,explorer_pass,completed,2026-02-22T07:04:14.4005082Z,2026-02-22T07:04:14.4005082Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/response.md,explorer sub-agent findings integrated into deep-dive response
20260222-084640-run3-asupersync-deep-dive-internal,explorer_log,completed,2026-02-22T07:04:34.2373438Z,2026-02-22T07:04:34.2373438Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/logs/explorer_pass.md,sub-agent exploration trace recorded
20260222-084640-run3-asupersync-deep-dive-internal,input_snapshot_normalization,completed,2026-02-22T07:06:09.8322051Z,2026-02-22T07:06:09.8322051Z,research/runs/20260222-084640-run3-asupersync-deep-dive-internal/inputs/asupersync_snapshot.md,temporary clone removed and snapshot metadata retained
20260222-084640-run3-asupersync-deep-dive-internal,synthesized,completed,2026-02-22T13:32:23.8746728Z,2026-02-22T13:32:23.8746728Z,synthesis/runs/20260222-152845-foundation-pass-02-prompt-and-research/outputs/synthesis_report.md,synthesized by 20260222-152845-foundation-pass-02-prompt-and-research
