"suggestion_id","source_file","suggestion_summary","target_doc_candidate","target_section_candidate","priority","status"
"VF001","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A1)","Add concrete CalcDelta entry taxonomy and delivery semantics","ARCHITECTURE_AND_REQUIREMENTS.md","3.3.2","high","reviewed"
"VF002","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A2)","Generalize Layer D pipeline to heterogeneous NodeId graph","ARCHITECTURE_AND_REQUIREMENTS.md","3.4 and 3.12","high","reviewed"
"VF003","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A3)","Add baseline dirty-closure propagation model as companion to invariant model","ARCHITECTURE_AND_REQUIREMENTS.md","3.4.2","high","reviewed"
"VF004","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A4)","Distinguish externally invalidated functions from volatile invalidation behavior","ARCHITECTURE_AND_REQUIREMENTS.md","3.5.1","high","reviewed"
"VF005","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A5)","Formalize three-category volatility classification","ARCHITECTURE_AND_REQUIREMENTS.md","3.6","high","reviewed"
"VF006","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A6)","Extend OpKind with control/chart definition operations","ARCHITECTURE_AND_REQUIREMENTS.md","3.13","high","reviewed"
"VF007","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A7)","Model controls/charts as engine entities participating in dependency graph","ARCHITECTURE_AND_REQUIREMENTS.md","3.6.1","high","reviewed"
"VF008","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (A8)","Record pathfinder completion asymmetry as explicit Round 0 track status","ARCHITECTURE_AND_REQUIREMENTS.md","6.3","medium","reviewed"
"VF009","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (B1)","Add Round 0 status annotation inside CHARTER system-family section","CHARTER.md","3.1","medium","reviewed"
"VF010","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (B2)","Expand CHARTER glossary with NodeId/volatility/control/chart/change terms","CHARTER.md","5","low","reviewed"
"VF011","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (C1)","Clarify pack status distinction between exercised vs Green-validated","OPERATIONS.md","4.1","high","reviewed"
"VF012","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (C2)","Add Round 1 candidate pack names for controls/charts/calcdelta/volatility","OPERATIONS.md","4.1","medium","reviewed"
"VF013","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (C3)","List pathfinder-produced artifact filenames in round progression section","OPERATIONS.md","10","low","reviewed"
"VF014","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (D1)","Adopt explicit Track A/B/C decomposition for round-exit status interpretation","ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md","6.3;10.1","medium","reviewed"
"VF015","..\\DnaVisiCalc\\docs\\FOUNDATION_PROPOSALS.md (D2)","Document pathfinder feedback loop as standard process pattern","OPERATIONS.md","8.7","medium","reviewed"
