"doc_id","source_path","copied_path","status_in_repo_mind","authority","role","notes"
"foundation_charter","CHARTER.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\CHARTER.md","Active authoritative doctrine","Foundation authoritative","Core doctrine","Highest precedence in Foundation docs."
"foundation_arch","ARCHITECTURE_AND_REQUIREMENTS.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\ARCHITECTURE_AND_REQUIREMENTS.md","Active authoritative architecture","Foundation authoritative","Architecture constraints and requirements","Core architecture framing and constraints."
"foundation_ops","OPERATIONS.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\OPERATIONS.md","Active authoritative operations","Foundation authoritative","Process and run discipline","Defines prompt/research/synthesis usage and precedence."
"foundation_core_formal","CORE_ENGINE_FORMAL_MODEL.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-core\CORE_ENGINE_FORMAL_MODEL.md","Active working formal-model doc","Foundation authoritative (Green-owned working doc)","Primary core formal-model workspace","Current consolidated story and triage baseline."
"brainstorm_notes","notes/BRAINSTORM_NOTES.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\BRAINSTORM_NOTES.md","Supporting brainstorm context (non-authoritative)","Supporting context only","Captured motifs/open questions","Pre-project and broad idea capture."
"formal_note_redirect_status","notes/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","Archived redirect stub","Non-authoritative","Pointer to archived full content","Superseded as active working note."
"formal_note_redirect_ideas","notes/FORMAL_MODELS_IDEAS.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_MODELS_IDEAS.md","Archived redirect stub","Non-authoritative","Pointer to archived full content","Superseded as active working note."
"formal_note_redirect_remaining","notes/FORMAL_MODEL_REMAINING_NOTES.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\FORMAL_MODEL_REMAINING_NOTES.md","Archived redirect stub","Non-authoritative","Pointer to archived full content","Superseded as active working note."
"formal_archive_status","notes/archive/formal-model/FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_CORE_STATUS_AND_SUGGESTIONS_DRAFT.md","Archived full-content source","Historical input, not doctrine","Prior status/suggestions context","Useful historical ideas; content triaged into current model where accepted."
"formal_archive_ideas","notes/archive/formal-model/FORMAL_MODELS_IDEAS.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_MODELS_IDEAS.md","Archived full-content source","Historical input, not doctrine","Prior formal-model idea corpus","Useful ideas retained as archive; not active source-of-truth."
"formal_archive_remaining","notes/archive/formal-model/FORMAL_MODEL_REMAINING_NOTES.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\foundation-notes\archive\formal-model\FORMAL_MODEL_REMAINING_NOTES.md","Archived full-content source","Historical input, not doctrine","Deferred/open backlog context","Deferred items for future promotion decisions."
"visicalc_spec_v0","..\DnaVisiCalc\docs\SPEC_v0.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\SPEC_v0.md","Authoritative for DnaVisiCalc v0 scope","DnaVisiCalc authoritative scope doc","Pathfinder v0 functional spec","Primary v0 scope authority referenced by Foundation docs."
"visicalc_engine_requirements","..\DnaVisiCalc\docs\ENGINE_REQUIREMENTS.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\ENGINE_REQUIREMENTS.md","Authoritative for DnaVisiCalc v0 scope","DnaVisiCalc authoritative scope doc","Pathfinder core engine requirements","Functional requirements baseline for v0 core engine behavior."
"visicalc_engine_api","..\DnaVisiCalc\docs\ENGINE_API.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\ENGINE_API.md","Authoritative for DnaVisiCalc v0 scope","DnaVisiCalc authoritative scope doc","Pathfinder engine protocol/API contract","Interface contract for v0 engine implementation scope."
"visicalc_spec_appendix","..\DnaVisiCalc\docs\SPEC_v0_INTEGRATION_APPENDIX.md","prompts\runs\20260228-121316-core-formal-model-conference-room-01\inputs\source\pathfinder-spec\SPEC_v0_INTEGRATION_APPENDIX.md","Supporting appendix","Pathfinder supporting context","Integration notes for SPEC_v0","Helpful context; main authority remains SPEC_v0/ENGINE_REQUIREMENTS/ENGINE_API."
